Time,Focus,FocusReal,FocusRaw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
0.170895,2.597776,2.597775757,1.876013307,0.3001083,0.3001083,0.277513,0.3003513,0.2170511,0.1300976,0.206964,0.1863497,0.1584689,0.2394733,0.3079739
0.174669,2.513392,2.513392212,1.676130914,0.3001083,0.3001083,0.277513,0.2954329,0.2051626,0.1300976,0.206964,0.1863497,0.1584689,0.2394733,0.3079739
0.17488,2.513392,2.513392212,1.676130914,0.3001083,0.3001083,0.277513,0.2954329,0.2051626,0.1333756,0.2169503,0.1863497,0.1584689,0.2394733,0.3079739
0.175036,2.558965,2.558965476,1.790096812,0.3001083,0.3001083,0.277513,0.2954329,0.2051626,0.1333756,0.2169503,0.1846829,0.1533415,0.2394733,0.3079739
0.175196,2.558965,2.558965476,1.790096812,0.3001083,0.3001083,0.277513,0.2954329,0.2051626,0.1333756,0.2169503,0.1846829,0.1533415,0.2435012,0.3079496
0.175346,2.558965,2.558965476,1.790096812,0.299545,0.299545,0.2727556,0.2954329,0.2051626,0.1333756,0.2169503,0.1846829,0.1533415,0.2435012,0.3079496
0.175494,2.452624,2.45262386,1.664525157,0.299545,0.299545,0.2727556,0.2892292,0.1978359,0.1333756,0.2169503,0.1846829,0.1533415,0.2435012,0.3079496
0.175648,2.452624,2.45262386,1.664525157,0.299545,0.299545,0.2727556,0.2892292,0.1978359,0.1375817,0.2258935,0.1846829,0.1533415,0.2435012,0.3079496
0.175794,2.514397,2.514396798,1.740665424,0.299545,0.299545,0.2727556,0.2892292,0.1978359,0.1375817,0.2258935,0.1824001,0.1499503,0.2435012,0.3079496
0.175939,2.514397,2.514396798,1.740665424,0.299545,0.299545,0.2727556,0.2892292,0.1978359,0.1375817,0.2258935,0.1824001,0.1499503,0.2497705,0.3021991
0.176081,2.514397,2.514396798,1.740665424,0.2991295,0.2991295,0.2676414,0.2892292,0.1978359,0.1375817,0.2258935,0.1824001,0.1499503,0.2497705,0.3021991
0.17622,2.388347,2.388346699,1.665876824,0.2991295,0.2991295,0.2676414,0.2818862,0.1935391,0.1375817,0.2258935,0.1824001,0.1499503,0.2497705,0.3021991
