Time,Focus,FocusReal,Fcous Raw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
0.653267,1.239678,1.23967764,0.777674672,0.254995,0.254995,0.2724458,0.1425168,0.1441973,0.3187402,0.2957453,0.1280005,0.1635152,0.1305462,0.06626908
0.653486,1.239678,1.23967764,0.777674672,0.254995,0.254995,0.2724458,0.1425168,0.1441973,0.3163656,0.2966588,0.1280005,0.1635152,0.1305462,0.06626908
0.653708,1.226419,1.226419179,0.771709952,0.254995,0.254995,0.2724458,0.1425168,0.1441973,0.3163656,0.2966588,0.1286905,0.1641459,0.1305462,0.06626908
0.653944,1.226419,1.226419179,0.771709952,0.254995,0.254995,0.2724458,0.1425168,0.1441973,0.3163656,0.2966588,0.1286905,0.1641459,0.1212913,0.06631003
0.720064,1.226419,1.226419179,0.771709952,0.2570454,0.2570454,0.272929,0.1425168,0.1441973,0.3163656,0.2966588,0.1286905,0.1641459,0.1212913,0.06631003
0.720347,1.250516,1.250516366,0.789261045,0.2570454,0.2570454,0.272929,0.1439101,0.1458278,0.3163656,0.2966588,0.1286905,0.1641459,0.1212913,0.06631003
0.720573,1.250516,1.250516366,0.789261045,0.2570454,0.2570454,0.272929,0.1439101,0.1458278,0.3139444,0.2942367,0.1286905,0.1641459,0.1212913,0.06631003
0.720797,1.234089,1.234088751,0.776719454,0.2570454,0.2570454,0.272929,0.1439101,0.1458278,0.3139444,0.2942367,0.1295442,0.1654658,0.1212913,0.06631003
0.721037,1.234089,1.234088751,0.776719454,0.2570454,0.2570454,0.272929,0.1439101,0.1458278,0.3139444,0.2942367,0.1295442,0.1654658,0.112032,0.06704693
0.821108,1.234089,1.234088751,0.776719454,0.25903,0.25903,0.2750269,0.1439101,0.1458278,0.3139444,0.2942367,0.1295442,0.1654658,0.112032,0.06704693
0.821361,1.257188,1.257187696,0.793911736,0.25903,0.25903,0.2750269,0.1452506,0.1474329,0.3139444,0.2942367,0.1295442,0.1654658,0.112032,0.06704693
0.821578,1.257188,1.257187696,0.793911736,0.25903,0.25903,0.2750269,0.1452506,0.1474329,0.3115283,0.2900561,0.1295442,0.1654658,0.112032,0.06704693
0.821791,1.238054,1.238053563,0.779515269,0.25903,0.25903,0.2750269,0.1452506,0.1474329,0.3115283,0.2900561,0.1305414,0.1669868,0.112032,0.06704693
0.821997,1.238054,1.238053563,0.779515269,0.25903,0.25903,0.2750269,0.1452506,0.1474329,0.3115283,0.2900561,0.1305414,0.1669868,0.1028215,0.0720285
0.954348,1.238054,1.238053563,0.779515269,0.2650371,0.2650371,0.3118719,0.1452506,0.1474329,0.3115283,0.2900561,0.1305414,0.1669868,0.1028215,0.0720285
0.954697,1.256811,1.256810701,0.82243962,0.2650371,0.2650371,0.3118719,0.1463468,0.1514378,0.3115283,0.2900561,0.1305414,0.1669868,0.1028215,0.0720285
0.954932,1.256811,1.256810701,0.82243962,0.2650371,0.2650371,0.3118719,0.1463468,0.1514378,0.3062277,0.2597125,0.1305414,0.1669868,0.1028215,0.0720285
