Time,Focus,FocusReal,FocusRaw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
0.134671,2.022967,2.022966716,2.262765039,0.2247067,0.2247067,0.1957419,0.2606139,0.2970645,0.1520131,0.1526083,0.1832328,0.1974836,0.240081,0.2464313
0.136354,2.084626,2.08462641,2.286615143,0.2247067,0.2247067,0.1957419,0.2645559,0.2986259,0.1520131,0.1526083,0.1832328,0.1974836,0.240081,0.2464313
0.136489,2.084626,2.08462641,2.286615143,0.2247067,0.2247067,0.1957419,0.2645559,0.2986259,0.1530629,0.1487858,0.1832328,0.1974836,0.240081,0.2464313
0.136616,2.07508,2.075080232,2.242589368,0.2247067,0.2247067,0.1957419,0.2645559,0.2986259,0.1530629,0.1487858,0.1836538,0.1994126,0.240081,0.2464313
0.136734,2.07508,2.075080232,2.242589368,0.2247067,0.2247067,0.1957419,0.2645559,0.2986259,0.1530629,0.1487858,0.1836538,0.1994126,0.241922,0.2462505
0.201275,2.07508,2.075080232,2.242589368,0.2192143,0.2192143,0.2005495,0.2645559,0.2986259,0.1530629,0.1487858,0.1836538,0.1994126,0.241922,0.2462505
0.201387,2.136821,2.136820532,2.236327169,0.2192143,0.2192143,0.2005495,0.2684627,0.2982087,0.1530629,0.1487858,0.1836538,0.1994126,0.241922,0.2462505
0.201473,2.136821,2.136820532,2.236327169,0.2192143,0.2192143,0.2005495,0.2684627,0.2982087,0.154001,0.1449534,0.1836538,0.1994126,0.241922,0.2462505
0.201565,2.121564,2.121563826,2.233957427,0.2192143,0.2192143,0.2005495,0.2684627,0.2982087,0.154001,0.1449534,0.184313,0.1995184,0.241922,0.2462505
0.201649,2.121564,2.121563826,2.233957427,0.2192143,0.2192143,0.2005495,0.2684627,0.2982087,0.154001,0.1449534,0.184313,0.1995184,0.2439492,0.2466932
0.227541,2.121564,2.121563826,2.233957427,0.2135654,0.2135654,0.2025733,0.2684627,0.2982087,0.154001,0.1449534,0.184313,0.1995184,0.2439492,0.2466932
0.227646,2.183758,2.183757614,2.215979599,0.2135654,0.2135654,0.2025733,0.2723693,0.2970064,0.154001,0.1449534,0.184313,0.1995184,0.2439492,0.2466932
0.227734,2.183758,2.183757614,2.215979599,0.2135654,0.2135654,0.2025733,0.2723693,0.2970064,0.1548843,0.1442923,0.184313,0.1995184,0.2439492,0.2466932
0.227825,2.163178,2.163178265,2.228320081,0.2135654,0.2135654,0.2025733,0.2723693,0.2970064,0.1548843,0.1442923,0.1851876,0.1989651,0.2439492,0.2466932
0.22791,2.163178,2.163178265,2.228320081,0.2135654,0.2135654,0.2025733,0.2723693,0.2970064,0.1548843,0.1442923,0.1851876,0.1989651,0.2455042,0.2445149
0.329241,2.163178,2.163178265,2.228320081,0.2077585,0.2077585,0.2037605,0.2723693,0.2970064,0.1548843,0.1442923,0.1851876,0.1989651,0.2455042,0.2445149
0.329515,2.223785,2.223784962,2.162391298,0.2077585,0.2077585,0.2037605,0.2761585,0.2925797,0.1548843,0.1442923,0.1851876,0.1989651,0.2455042,0.2445149
0.329737,2.223785,2.223784962,2.162391298,0.2077585,0.2077585,0.2037605,0.2761585,0.2925797,0.1558527,0.1487951,0.1851876,0.1989651,0.2455042,0.2445149
0.329947,2.200139,2.200138632,2.216716167,0.2077585,0.2077585,0.2037605,0.2761585,0.2925797,0.1558527,0.1487951,0.1861801,0.196512,0.2455042,0.2445149
0.330176,2.200139,2.200138632,2.216716167,0.2077585,0.2077585,0.2037605,0.2761585,0.2925797,0.1558527,0.1487951,0.1861801,0.196512,0.2470191,0.2408254
0.429048,2.200139,2.200138632,2.216716167,0.201791,0.201791,0.198082,0.2761585,0.2925797,0.1558527,0.1487951,0.1861801,0.196512,0.2470191,0.2408254
0.429329,2.255332,2.255331889,2.126289794,0.201791,0.201791,0.198082,0.2796009,0.2865499,0.1558527,0.1487951,0.1861801,0.196512,0.2470191,0.2408254
0.429557,2.255332,2.255331889,2.126289794,0.201791,0.201791,0.198082,0.2796009,0.2865499,0.1569946,0.1590298,0.1861801,0.196512,0.2470191,0.2408254
0.429774,2.22732,2.227320012,2.178453731,0.201791,0.201791,0.198082,0.2796009,0.2865499,0.1569946,0.1590298,0.1873472,0.194145,0.2470191,0.2408254
0.42999,2.22732,2.227320012,2.178453731,0.201791,0.201791,0.198082,0.2796009,0.2865499,0.1569946,0.1590298,0.1873472,0.194145,0.2481702,0.2331953
0.547843,2.22732,2.227320012,2.178453731,0.1964314,0.1964314,0.1882898,0.2796009,0.2865499,0.1569946,0.1590298,0.1873472,0.194145,0.2481702,0.2331953
0.548125,2.27206,2.272059651,2.086244344,0.1964314,0.1964314,0.1882898,0.2823951,0.2804198,0.1569946,0.1590298,0.1873472,0.194145,0.2481702,0.2331953
