Time,Focus,FocusReal,FocusRaw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
0.183119,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.186041,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.186236,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.186387,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.186528,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.186671,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.186816,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.186978,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.187432,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.187646,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.301027,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.301304,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.301498,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.301679,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.301824,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.301964,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.302105,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.302255,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.302413,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.302554,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.405517,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.406288,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.406885,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.407936,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.408592,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.475485,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.476557,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.489873,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.490338,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.490677,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.631643,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.631849,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.632019,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.632187,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.632342,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.632475,1368.167,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.722551,1368.167,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.72441,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.725625,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.728167,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.728949,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.789883,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.790594,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.791519,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.792362,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.793064,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.948717,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.949162,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.949547,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.949936,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.950326,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.990125,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
0.99059,0.5916006,0.591600585,0.591600585,0.1058027,0.1058027,0.1058027,0.1399537,0.1399537,0.34554,0.34554,0.1819575,0.1819575,0.1476094,0.1476094
