Time,Focus,FocusReal,FocusRaw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
0.161064,1.160849,1.160848594,1.448320043,0.1859538,0.1859538,0.1782395,0.1471389,0.1555459,0.3028519,0.3059059,0.1365651,0.1292487,0.290166,0.3027387
0.163828,1.163262,1.163261991,1.45582434,0.1859538,0.1859538,0.1782395,0.1472918,0.1559484,0.3028519,0.3059059,0.1365651,0.1292487,0.290166,0.3027387
0.164022,1.163262,1.163261991,1.45582434,0.1859538,0.1859538,0.1782395,0.1472918,0.1559484,0.3034584,0.3057997,0.1365651,0.1292487,0.290166,0.3027387
0.16418,1.177113,1.177113276,1.488272523,0.1859538,0.1859538,0.1782395,0.1472918,0.1559484,0.3034584,0.3057997,0.1357592,0.127832,0.290166,0.3027387
0.164329,1.177113,1.177113276,1.488272523,0.1859538,0.1859538,0.1782395,0.1472918,0.1559484,0.3034584,0.3057997,0.1357592,0.127832,0.2902221,0.3042475
0.164477,1.177113,1.177113276,1.488272523,0.1857163,0.1857163,0.1783051,0.1472918,0.1559484,0.3034584,0.3057997,0.1357592,0.127832,0.2902221,0.3042475
0.164624,1.179261,1.179260895,1.479447463,0.1857163,0.1857163,0.1783051,0.1474261,0.1554853,0.3034584,0.3057997,0.1357592,0.127832,0.2902221,0.3042475
0.164779,1.179261,1.179260895,1.479447463,0.1857163,0.1857163,0.1783051,0.1474261,0.1554853,0.3041351,0.3066156,0.1357592,0.127832,0.2902221,0.3042475
0.164938,1.193793,1.193792739,1.500532984,0.1857163,0.1857163,0.1783051,0.1474261,0.1554853,0.3041351,0.3066156,0.1349304,0.1269307,0.2902221,0.3042475
0.165086,1.193793,1.193792739,1.500532984,0.1857163,0.1857163,0.1783051,0.1474261,0.1554853,0.3041351,0.3066156,0.1349304,0.1269307,0.2902724,0.304668
0.281133,1.193793,1.193792739,1.500532984,0.1851246,0.1851246,0.1776212,0.1474261,0.1554853,0.3041351,0.3066156,0.1349304,0.1269307,0.2902724,0.304668
0.281408,1.197503,1.197502872,1.555059731,0.1851246,0.1851246,0.1776212,0.147655,0.1582851,0.3041351,0.3066156,0.1349304,0.1269307,0.2902724,0.304668
0.281576,1.197503,1.197502872,1.555059731,0.1851246,0.1851246,0.1776212,0.147655,0.1582851,0.3050827,0.307083,0.1349304,0.1269307,0.2902724,0.304668
0.281729,1.189022,1.189021939,1.070948792,0.1851246,0.1851246,0.1776212,0.147655,0.1582851,0.3050827,0.307083,0.1354108,0.1529522,0.2902724,0.304668
0.281876,1.189022,1.189021939,1.070948792,0.1851246,0.1851246,0.1776212,0.147655,0.1582851,0.3050827,0.307083,0.1354108,0.1529522,0.2925709,0.3029953
0.295689,1.189022,1.189021939,1.070948792,0.1846823,0.1846823,0.1826347,0.147655,0.1582851,0.3050827,0.307083,0.1354108,0.1529522,0.2925709,0.3029953
0.295985,1.193733,1.193732545,1.059076594,0.1846823,0.1846823,0.1826347,0.1479472,0.1574053,0.3050827,0.307083,0.1354108,0.1529522,0.2925709,0.3029953
0.296239,1.193733,1.193732545,1.059076594,0.1846823,0.1846823,0.1826347,0.1479472,0.1574053,0.3059055,0.3061674,0.1354108,0.1529522,0.2925709,0.3029953
0.296426,1.184813,1.184812836,1.064800959,0.1846823,0.1846823,0.1826347,0.1479472,0.1574053,0.3059055,0.3061674,0.1359195,0.1525405,0.2925709,0.3029953
0.296596,1.184813,1.184812836,1.064800959,0.1846823,0.1846823,0.1826347,0.1479472,0.1574053,0.3059055,0.3061674,0.1359195,0.1525405,0.2948067,0.3012378
0.38938,1.184813,1.184812836,1.064800959,0.1846959,0.1846959,0.1904237,0.1479472,0.1574053,0.3059055,0.3061674,0.1359195,0.1525405,0.2948067,0.3012378
0.38984,1.189991,1.189990881,1.0579458,0.1846959,0.1846959,0.1904237,0.1482701,0.1568978,0.3059055,0.3061674,0.1359195,0.1525405,0.2948067,0.3012378
0.390443,1.189991,1.189990881,1.0579458,0.1846959,0.1846959,0.1904237,0.1482701,0.1568978,0.3065181,0.3029808,0.1359195,0.1525405,0.2948067,0.3012378
0.391223,1.182666,1.182666068,1.075631605,0.1846959,0.1846959,0.1904237,0.1482701,0.1568978,0.3065181,0.3029808,0.1363398,0.1512813,0.2948067,0.3012378
0.391756,1.182666,1.182666068,1.075631605,0.1846959,0.1846959,0.1904237,0.1482701,0.1568978,0.3065181,0.3029808,0.1363398,0.1512813,0.2969521,0.2995988
0.494417,1.182666,1.182666068,1.075631605,0.1851035,0.1851035,0.1949451,0.1482701,0.1568978,0.3065181,0.3029808,0.1363398,0.1512813,0.2969521,0.2995988
0.494987,1.190056,1.190055807,1.083679385,0.1851035,0.1851035,0.1949451,0.1487326,0.1574837,0.3065181,0.3029808,0.1363398,0.1512813,0.2969521,0.2995988
0.495496,1.190056,1.190055807,1.083679385,0.1851035,0.1851035,0.1949451,0.1487326,0.1574837,0.3067599,0.3002703,0.1363398,0.1512813,0.2969521,0.2995988
0.495928,1.182703,1.182702553,1.095210147,0.1851035,0.1851035,0.1949451,0.1487326,0.1574837,0.3067599,0.3002703,0.136763,0.1504828,0.2969521,0.2995988
0.496374,1.182703,1.182702553,1.095210147,0.1851035,0.1851035,0.1949451,0.1487326,0.1574837,0.3067599,0.3002703,0.136763,0.1504828,0.2968149,0.2516642
0.619088,1.182703,1.182702553,1.095210147,0.1859559,0.1859559,0.1987019,0.1487326,0.1574837,0.3067599,0.3002703,0.136763,0.1504828,0.2968149,0.2516642
0.619396,1.192341,1.192340587,1.106084077,0.1859559,0.1859559,0.1987019,0.1493374,0.1582635,0.3067599,0.3002703,0.136763,0.1504828,0.2968149,0.2516642
0.619667,1.192341,1.192340587,1.106084077,0.1859559,0.1859559,0.1987019,0.1493374,0.1582635,0.3066235,0.2977953,0.136763,0.1504828,0.2968149,0.2516642
0.619953,1.185056,1.185056147,1.113935568,0.1859559,0.1859559,0.1987019,0.1493374,0.1582635,0.3066235,0.2977953,0.1371827,0.1499515,0.2968149,0.2516642
0.620286,1.185056,1.185056147,1.113935568,0.1859559,0.1859559,0.1987019,0.1493374,0.1582635,0.3066235,0.2977953,0.1371827,0.1499515,0.2943888,0.2538109
0.722129,1.185056,1.185056147,1.113935568,0.1873052,0.1873052,0.2015225,0.1493374,0.1582635,0.3066235,0.2977953,0.1371827,0.1499515,0.2943888,0.2538109
0.722541,1.198335,1.198335155,1.144200179,0.1873052,0.1873052,0.2015225,0.1501718,0.1603991,0.3066235,0.2977953,0.1371827,0.1499515,0.2943888,0.2538109
0.7229,1.198335,1.198335155,1.144200179,0.1873052,0.1873052,0.2015225,0.1501718,0.1603991,0.3060386,0.2949511,0.1371827,0.1499515,0.2943888,0.2538109
0.723252,1.191667,1.191667346,1.162524323,0.1873052,0.1873052,0.2015225,0.1501718,0.1603991,0.3060386,0.2949511,0.1375659,0.148765,0.2943888,0.2538109
0.723624,1.191667,1.191667346,1.162524323,0.1873052,0.1873052,0.2015225,0.1501718,0.1603991,0.3060386,0.2949511,0.1375659,0.148765,0.2924861,0.2624047
