Time,Focus,FocusReal,FocusRaw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
0.165467,1.343317,1.343317334,1.738789435,0.2191356,0.2191356,0.2563356,0.2348015,0.22501,0.2500357,0.2493777,0.202587,0.170639,0.1617881,0.198432
0.16826,1.332814,1.33281409,1.668734987,0.2191356,0.2191356,0.2563356,0.2338818,0.2204306,0.2500357,0.2493777,0.202587,0.170639,0.1617881,0.198432
0.168453,1.332814,1.33281409,1.668734987,0.2191356,0.2191356,0.2563356,0.2338818,0.2204306,0.2500296,0.2476894,0.202587,0.170639,0.1617881,0.198432
0.168611,1.349355,1.34935527,1.721283578,0.2191356,0.2191356,0.2563356,0.2338818,0.2204306,0.2500296,0.2476894,0.2013415,0.1680141,0.1617881,0.198432
0.168758,1.349355,1.34935527,1.721283578,0.2191356,0.2191356,0.2563356,0.2338818,0.2204306,0.2500296,0.2476894,0.2013415,0.1680141,0.1608116,0.1979641
0.168899,1.349355,1.34935527,1.721283578,0.2238961,0.2238961,0.2665532,0.2338818,0.2204306,0.2500296,0.2476894,0.2013415,0.1680141,0.1608116,0.1979641
0.169039,1.336272,1.336272318,1.659360754,0.2238961,0.2238961,0.2665532,0.2327452,0.2164294,0.2500296,0.2476894,0.2013415,0.1680141,0.1608116,0.1979641
0.169183,1.336272,1.336272318,1.659360754,0.2238961,0.2238961,0.2665532,0.2327452,0.2164294,0.2497669,0.2426965,0.2013415,0.1680141,0.1608116,0.1979641
0.169325,1.354746,1.354746309,1.684827801,0.2238961,0.2238961,0.2665532,0.2327452,0.2164294,0.2497669,0.2426965,0.1999639,0.1667395,0.1608116,0.1979641
0.169472,1.354746,1.354746309,1.684827801,0.2238961,0.2238961,0.2665532,0.2327452,0.2164294,0.2497669,0.2426965,0.1999639,0.1667395,0.1598227,0.1969687
0.169611,1.354746,1.354746309,1.684827801,0.2291447,0.2291447,0.276878,0.2327452,0.2164294,0.2497669,0.2426965,0.1999639,0.1667395,0.1598227,0.1969687
0.169749,1.338652,1.338651514,1.646694004,0.2291447,0.2291447,0.276878,0.2313585,0.213966,0.2497669,0.2426965,0.1999639,0.1667395,0.1598227,0.1969687
0.169897,1.338652,1.338651514,1.646694004,0.2291447,0.2291447,0.276878,0.2313585,0.213966,0.2491714,0.2353518,0.1999639,0.1667395,0.1598227,0.1969687
0.175708,1.35782,1.357820229,1.643180413,0.2291447,0.2291447,0.276878,0.2313585,0.213966,0.2491714,0.2353518,0.1985475,0.1669176,0.1598227,0.1969687
0.176025,1.35782,1.357820229,1.643180413,0.2291447,0.2291447,0.276878,0.2313585,0.213966,0.2491714,0.2353518,0.1985475,0.1669176,0.1588419,0.198422
0.283862,1.35782,1.357820229,1.643180413,0.2348441,0.2348441,0.2864051,0.2313585,0.213966,0.2491714,0.2353518,0.1985475,0.1669176,0.1588419,0.198422
0.284306,1.338094,1.338093988,1.613435336,0.2348441,0.2348441,0.2864051,0.2296718,0.2120206,0.2491714,0.2353518,0.1985475,0.1669176,0.1588419,0.198422
0.284498,1.338094,1.338093988,1.613435336,0.2348441,0.2348441,0.2864051,0.2296718,0.2120206,0.2482615,0.228155,0.1985475,0.1669176,0.1588419,0.198422
0.284672,1.358328,1.358327906,1.6227967,0.2348441,0.2348441,0.2864051,0.2296718,0.2120206,0.2482615,0.228155,0.1970631,0.1664355,0.1588419,0.198422
0.284851,1.358328,1.358327906,1.6227967,0.2348441,0.2348441,0.2864051,0.2296718,0.2120206,0.2482615,0.228155,0.1970631,0.1664355,0.1577781,0.194407
0.347307,1.358328,1.358327906,1.6227967,0.2410406,0.2410406,0.295832,0.2296718,0.2120206,0.2482615,0.228155,0.1970631,0.1664355,0.1577781,0.194407
0.347614,1.35918,1.359180067,1.585837231,0.2410406,0.2410406,0.295832,0.2297438,0.2095923,0.2482615,0.228155,0.1970631,0.1664355,0.1577781,0.194407
0.347921,1.35918,1.359180067,1.585837231,0.2410406,0.2410406,0.295832,0.2297438,0.2095923,0.2455737,0.2228672,0.1970631,0.1664355,0.1577781,0.194407
0.348194,1.411662,1.411661568,1.652763152,0.2410406,0.2410406,0.295832,0.2297438,0.2095923,0.2455737,0.2228672,0.1933653,0.1630309,0.1577781,0.194407
0.348473,1.411662,1.411661568,1.652763152,0.2410406,0.2410406,0.295832,0.2297438,0.2095923,0.2455737,0.2228672,0.1933653,0.1630309,0.159832,0.2022142
0.445898,1.411662,1.411661568,1.652763152,0.2470581,0.2470581,0.2966899,0.2297438,0.2095923,0.2455737,0.2228672,0.1933653,0.1630309,0.159832,0.2022142
0.446332,1.408702,1.408701697,1.650168021,0.2470581,0.2470581,0.2966899,0.2295028,0.2094277,0.2455737,0.2228672,0.1933653,0.1630309,0.159832,0.2022142
0.446752,1.408702,1.408701697,1.650168021,0.2470581,0.2470581,0.2966899,0.2295028,0.2094277,0.2427346,0.2219773,0.1933653,0.1630309,0.159832,0.2022142
0.447184,1.46126,1.461260332,1.745879467,0.2470581,0.2470581,0.2966899,0.2295028,0.2094277,0.2427346,0.2219773,0.189856,0.1584991,0.159832,0.2022142
0.447586,1.46126,1.461260332,1.745879467,0.2470581,0.2470581,0.2966899,0.2295028,0.2094277,0.2427346,0.2219773,0.189856,0.1584991,0.1616778,0.1973311
0.535541,1.46126,1.461260332,1.745879467,0.25188,0.25188,0.2876582,0.2295028,0.2094277,0.2427346,0.2219773,0.189856,0.1584991,0.1616778,0.1973311
0.536174,1.448972,1.448971469,1.806555923,0.25188,0.25188,0.2876582,0.2285358,0.2130358,0.2427346,0.2219773,0.189856,0.1584991,0.1616778,0.1973311
