Time,Focus,FocusReal,FocusRaw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
0.696988,2.219663,2.219662566,2.936294109,0.2449474,0.2449474,0.2154425,0.2069908,0.2973628,0.2421942,0.1432974,0.1389337,0.1735349,0.2090427,0.2005487
0.697277,2.42743,2.427430173,3.048037956,0.2449474,0.2449474,0.2154425,0.2164616,0.3029682,0.2421942,0.1432974,0.1389337,0.1735349,0.2090427,0.2005487
0.697527,2.42743,2.427430173,3.048037956,0.2449474,0.2449474,0.2154425,0.2164616,0.3029682,0.2301539,0.1396087,0.1389337,0.1735349,0.2090427,0.2005487
0.69781,2.315758,2.315757476,2.882949744,0.2449474,0.2449474,0.2154425,0.2164616,0.3029682,0.2301539,0.1396087,0.1422441,0.1784344,0.2090427,0.2005487
0.698065,2.315758,2.315757476,2.882949744,0.2449474,0.2449474,0.2154425,0.2164616,0.3029682,0.2301539,0.1396087,0.1422441,0.1784344,0.2057429,0.1901816
0.751505,2.315758,2.315757476,2.882949744,0.2434978,0.2434978,0.2101935,0.2164616,0.3029682,0.2301539,0.1396087,0.1422441,0.1784344,0.2057429,0.1901816
0.752318,2.53357,2.533570014,3.102838392,0.2434978,0.2434978,0.2101935,0.2264127,0.3143099,0.2301539,0.1396087,0.1422441,0.1784344,0.2057429,0.1901816
0.752705,2.53357,2.533570014,3.102838392,0.2434978,0.2434978,0.2101935,0.2264127,0.3143099,0.2186403,0.1354032,0.1422441,0.1784344,0.2057429,0.1901816
0.760276,2.409992,2.409992135,2.830727961,0.2434978,0.2434978,0.2101935,0.2264127,0.3143099,0.2186403,0.1354032,0.1458455,0.1868138,0.2057429,0.1901816
0.760687,2.409992,2.409992135,2.830727961,0.2434978,0.2434978,0.2101935,0.2264127,0.3143099,0.2186403,0.1354032,0.1458455,0.1868138,0.2024552,0.1778909
0.862028,2.409992,2.409992135,2.830727961,0.2406583,0.2406583,0.1984954,0.2264127,0.3143099,0.2186403,0.1354032,0.1458455,0.1868138,0.2024552,0.1778909
0.86259,2.639851,2.639851326,3.082224781,0.2406583,0.2406583,0.1984954,0.2369642,0.3279753,0.2186403,0.1354032,0.1458455,0.1868138,0.2024552,0.1778909
0.863053,2.639851,2.639851326,3.082224781,0.2406583,0.2406583,0.1984954,0.2369642,0.3279753,0.207926,0.1367598,0.1458455,0.1868138,0.2024552,0.1778909
0.863522,2.507677,2.507677342,2.771951326,0.2406583,0.2406583,0.1984954,0.2369642,0.3279753,0.207926,0.1367598,0.1496397,0.1969919,0.2024552,0.1778909
0.864012,2.507677,2.507677342,2.771951326,0.2406583,0.2406583,0.1984954,0.2369642,0.3279753,0.207926,0.1367598,0.1496397,0.1969919,0.1987858,0.1555061
0.947717,2.507677,2.507677342,2.771951326,0.2375851,0.2375851,0.2053653,0.2369642,0.3279753,0.207926,0.1367598,0.1496397,0.1969919,0.1987858,0.1555061
0.948025,2.73109,2.731089592,2.717556217,0.2375851,0.2375851,0.2053653,0.2472947,0.3247414,0.207926,0.1367598,0.1496397,0.1969919,0.1987858,0.1555061
0.948308,2.73109,2.731089592,2.717556217,0.2375851,0.2375851,0.2053653,0.2472947,0.3247414,0.1981179,0.1434438,0.1496397,0.1969919,0.1987858,0.1555061
0.948581,2.600879,2.600878829,2.587630902,0.2375851,0.2375851,0.2053653,0.2472947,0.3247414,0.1981179,0.1434438,0.1533398,0.2018768,0.1987858,0.1555061
0.948829,2.600879,2.600878829,2.587630902,0.2375851,0.2375851,0.2053653,0.2472947,0.3247414,0.1981179,0.1434438,0.1533398,0.2018768,0.196707,0.1757862
1.044942,2.600879,2.600878829,2.587630902,0.2351267,0.2351267,0.2197753,0.2472947,0.3247414,0.1981179,0.1434438,0.1533398,0.2018768,0.196707,0.1757862
1.045372,2.816246,2.816246101,2.502351055,0.2351267,0.2351267,0.2197753,0.2573298,0.3193454,0.1981179,0.1434438,0.1533398,0.2018768,0.196707,0.1757862
1.045722,2.816246,2.816246101,2.502351055,0.2351267,0.2351267,0.2197753,0.2573298,0.3193454,0.1889861,0.152756,0.1533398,0.2018768,0.196707,0.1757862
1.046,2.68446,2.68446025,2.396586934,0.2351267,0.2351267,0.2197753,0.2573298,0.3193454,0.1889861,0.152756,0.1570586,0.2062833,0.196707,0.1757862
1.046256,2.68446,2.68446025,2.396586934,0.2351267,0.2351267,0.2197753,0.2573298,0.3193454,0.1889861,0.152756,0.1570586,0.2062833,0.1939768,0.1513293
1.201926,2.68446,2.68446025,2.396586934,0.2333966,0.2333966,0.2340232,0.2573298,0.3193454,0.1889861,0.152756,0.1570586,0.2062833,0.1939768,0.1513293
1.20225,2.889033,2.889032535,2.323237355,0.2333966,0.2333966,0.2340232,0.2669549,0.3144205,0.1889861,0.152756,0.1570586,0.2062833,0.1939768,0.1513293
1.202559,2.889033,2.889032535,2.323237355,0.2333966,0.2333966,0.2340232,0.2669549,0.3144205,0.1804986,0.16069,0.1570586,0.2062833,0.1939768,0.1513293
1.20287,2.751594,2.751594405,2.208955297,0.2333966,0.2333966,0.2340232,0.2669549,0.3144205,0.1804986,0.16069,0.1609332,0.2115521,0.1939768,0.1513293
1.203165,2.751594,2.751594405,2.208955297,0.2333966,0.2333966,0.2340232,0.2669549,0.3144205,0.1804986,0.16069,0.1609332,0.2115521,0.1908342,0.127689
1.291603,2.751594,2.751594405,2.208955297,0.2322965,0.2322965,0.2455036,0.2669549,0.3144205,0.1804986,0.16069,0.1609332,0.2115521,0.1908342,0.127689
1.292455,2.936938,2.936937982,2.106894786,0.2322965,0.2322965,0.2455036,0.2757992,0.307071,0.1804986,0.16069,0.1609332,0.2115521,0.1908342,0.127689
1.293191,2.936938,2.936937982,2.106894786,0.2322965,0.2322965,0.2455036,0.2757992,0.307071,0.1729394,0.1690782,0.1609332,0.2115521,0.1908342,0.127689
