Time,Focus,FocusReal,FocusRaw,Meditation,Alpha,AlphaReal,Beta,BetaReal,Delta,DeltaReal,Theta,ThetaReal,Gamma,GammaReal
0.188722,0.281516,0.281515981,0.480526441,0.1240541,0.1240541,0.1441982,0.09056322,0.115058,0.4308627,0.407385,0.1706869,0.165981,0.1666663,0.1282546
0.191396,0.2854299,0.285429892,0.491639294,0.1240541,0.1240541,0.1441982,0.09119059,0.1163809,0.4308627,0.407385,0.1706869,0.165981,0.1666663,0.1282546
0.19159,0.2854299,0.285429892,0.491639294,0.1240541,0.1240541,0.1441982,0.09119059,0.1163809,0.4318547,0.4036295,0.1706869,0.165981,0.1666663,0.1282546
0.191741,0.2888353,0.288835304,0.494062185,0.1240541,0.1240541,0.1441982,0.09119059,0.1163809,0.4318547,0.4036295,0.1696777,0.1655735,0.1666663,0.1282546
0.191892,0.2888353,0.288835304,0.494062185,0.1240541,0.1240541,0.1441982,0.09119059,0.1163809,0.4318547,0.4036295,0.1696777,0.1655735,0.1617336,0.1289761
0.192037,0.2888353,0.288835304,0.494062185,0.1242056,0.1242056,0.1468204,0.09119059,0.1163809,0.4318547,0.4036295,0.1696777,0.1655735,0.1617336,0.1289761
0.192186,0.2958271,0.295827059,0.503563846,0.1242056,0.1242056,0.1468204,0.0922877,0.1174947,0.4318547,0.4036295,0.1696777,0.1655735,0.1617336,0.1289761
0.19233,0.2958271,0.295827059,0.503563846,0.1242056,0.1242056,0.1468204,0.0922877,0.1174947,0.4317982,0.3999296,0.1696777,0.1655735,0.1617336,0.1289761
0.192473,0.2993173,0.2993173,0.508188118,0.1242056,0.1242056,0.1468204,0.0922877,0.1174947,0.4317982,0.3999296,0.1686856,0.1648185,0.1617336,0.1289761
0.192622,0.2993173,0.2993173,0.508188118,0.1242056,0.1242056,0.1468204,0.0922877,0.1174947,0.4317982,0.3999296,0.1686856,0.1648185,0.1573667,0.1286812
0.300777,0.2993173,0.2993173,0.508188118,0.125812,0.125812,0.1602811,0.0922877,0.1174947,0.4317982,0.3999296,0.1686856,0.1648185,0.1573667,0.1286812
0.300977,0.3113482,0.311348204,0.569420943,0.125812,0.125812,0.1602811,0.09412416,0.124372,0.4317982,0.3999296,0.1686856,0.1648185,0.1573667,0.1286812
0.301149,0.3113482,0.311348204,0.569420943,0.125812,0.125812,0.1602811,0.09412416,0.124372,0.4295592,0.3763761,0.1686856,0.1648185,0.1573667,0.1286812
0.301339,0.3130717,0.313071713,0.516357973,0.125812,0.125812,0.1602811,0.09412416,0.124372,0.4295592,0.3763761,0.1682206,0.1730801,0.1573667,0.1286812
0.305344,0.3130717,0.313071713,0.516357973,0.125812,0.125812,0.1602811,0.09412416,0.124372,0.4295592,0.3763761,0.1682206,0.1730801,0.1541137,0.1360572
0.305581,0.3130717,0.313071713,0.516357973,0.1280715,0.1280715,0.1639579,0.09412416,0.124372,0.4295592,0.3763761,0.1682206,0.1730801,0.1541137,0.1360572
0.305729,0.328514,0.328514049,0.555060572,0.1280715,0.1280715,0.1639579,0.09641757,0.1289488,0.4295592,0.3763761,0.1682206,0.1730801,0.1541137,0.1360572
0.305878,0.328514,0.328514049,0.555060572,0.1280715,0.1280715,0.1639579,0.09641757,0.1289488,0.4260332,0.3618452,0.1682206,0.1730801,0.1541137,0.1360572
0.306026,0.3292636,0.32926361,0.521890261,0.1280715,0.1280715,0.1639579,0.09641757,0.1289488,0.4260332,0.3618452,0.168029,0.1784957,0.1541137,0.1360572
0.306169,0.3292636,0.32926361,0.521890261,0.1280715,0.1280715,0.1639579,0.09641757,0.1289488,0.4260332,0.3618452,0.168029,0.1784957,0.1520913,0.1437806
0.395481,0.3292636,0.32926361,0.521890261,0.1306261,0.1306261,0.1626305,0.09641757,0.1289488,0.4260332,0.3618452,0.168029,0.1784957,0.1520913,0.1437806
0.395785,0.3451653,0.345165291,0.50871364,0.1306261,0.1306261,0.1626305,0.09871835,0.1273106,0.4260332,0.3618452,0.168029,0.1784957,0.1520913,0.1437806
0.396056,0.3451653,0.345165291,0.50871364,0.1306261,0.1306261,0.1626305,0.09871835,0.1273106,0.4222718,0.3637796,0.168029,0.1784957,0.1520913,0.1437806
0.396327,0.3461552,0.346155199,0.515301271,0.1306261,0.1306261,0.1626305,0.09871835,0.1273106,0.4222718,0.3637796,0.1677886,0.1773511,0.1520913,0.1437806
0.396583,0.3461552,0.346155199,0.515301271,0.1306261,0.1306261,0.1626305,0.09871835,0.1273106,0.4222718,0.3637796,0.1677886,0.1773511,0.1504549,0.1396887
0.493041,0.3461552,0.346155199,0.515301271,0.134496,0.134496,0.1848705,0.09871835,0.1273106,0.4222718,0.3637796,0.1677886,0.1773511,0.1504549,0.1396887
0.494101,0.3560772,0.356077189,0.383290601,0.134496,0.134496,0.1848705,0.1001232,0.1097989,0.4222718,0.3637796,0.1677886,0.1773511,0.1504549,0.1396887
0.495132,0.3560772,0.356077189,0.383290601,0.134496,0.134496,0.1848705,0.1001232,0.1097989,0.4184308,0.3642541,0.1677886,0.1773511,0.1504549,0.1396887
0.496119,0.3604382,0.360438241,0.471161385,0.134496,0.134496,0.1848705,0.1001232,0.1097989,0.4184308,0.3642541,0.1667704,0.1599606,0.1504549,0.1396887
0.4974,0.3604382,0.360438241,0.471161385,0.134496,0.134496,0.1848705,0.1001232,0.1097989,0.4184308,0.3642541,0.1667704,0.1599606,0.1523519,0.2075742
0.639505,0.3604382,0.360438241,0.471161385,0.1381088,0.1381088,0.1777164,0.1001232,0.1097989,0.4184308,0.3642541,0.1667704,0.1599606,0.1523519,0.2075742
0.640186,0.3683175,0.368317443,0.419258323,0.1381088,0.1381088,0.1777164,0.1012116,0.1035748,0.4184308,0.3642541,0.1667704,0.1599606,0.1523519,0.2075742
0.640923,0.3683175,0.368317443,0.419258323,0.1381088,0.1381088,0.1777164,0.1012116,0.1035748,0.4149397,0.373716,0.1667704,0.1599606,0.1523519,0.2075742
0.641616,0.3730955,0.373095446,0.447050946,0.1381088,0.1381088,0.1777164,0.1012116,0.1035748,0.4149397,0.373716,0.1656991,0.1549086,0.1523519,0.2075742
0.642313,0.3730955,0.373095446,0.447050946,0.1381088,0.1381088,0.1777164,0.1012116,0.1035748,0.4149397,0.373716,0.1656991,0.1549086,0.1540181,0.2025908
0.729519,0.3730955,0.373095446,0.447050946,0.1416803,0.1416803,0.1760832,0.1012116,0.1035748,0.4149397,0.373716,0.1656991,0.1549086,0.1540181,0.2025908
0.730574,0.3787914,0.378791403,0.400249368,0.1416803,0.1416803,0.1760832,0.1019812,0.09800331,0.4149397,0.373716,0.1656991,0.1549086,0.1540181,0.2025908
0.731492,0.3787914,0.378791403,0.400249368,0.1416803,0.1416803,0.1760832,0.1019812,0.09800331,0.4116992,0.3791257,0.1656991,0.1549086,0.1540181,0.2025908
0.73246,0.3848364,0.384836398,0.43476825,0.1416803,0.1416803,0.1760832,0.1019812,0.09800331,0.4116992,0.3791257,0.1643926,0.1486318,0.1540181,0.2025908
0.73341,0.3848364,0.384836398,0.43476825,0.1416803,0.1416803,0.1760832,0.1019812,0.09800331,0.4116992,0.3791257,0.1643926,0.1486318,0.1557068,0.203115
0.8492,0.3848364,0.384836398,0.43476825,0.1449569,0.1449569,0.1714985,0.1019812,0.09800331,0.4116992,0.3791257,0.1643926,0.1486318,0.1557068,0.203115
0.850031,0.3889962,0.38899619,0.404130052,0.1449569,0.1449569,0.1714985,0.1025309,0.09448707,0.4116992,0.3791257,0.1643926,0.1486318,0.1557068,0.203115
0.850775,0.3889962,0.38899619,0.404130052,0.1449569,0.1449569,0.1714985,0.1025309,0.09448707,0.408819,0.3851903,0.1643926,0.1486318,0.1557068,0.203115
0.851583,0.3958161,0.395816075,0.419101453,0.1449569,0.1449569,0.1714985,0.1025309,0.09448707,0.408819,0.3851903,0.1629702,0.1459529,0.1557068,0.203115
0.852363,0.3958161,0.395816075,0.419101453,0.1449569,0.1449569,0.1714985,0.1025309,0.09448707,0.408819,0.3851903,0.1629702,0.1459529,0.1571032,0.201197
0.936636,0.3958161,0.395816075,0.419101453,0.1478866,0.1478866,0.1659686,0.1025309,0.09448707,0.408819,0.3851903,0.1629702,0.1459529,0.1571032,0.201197
0.939507,0.4083027,0.408302706,0.396926237,0.1478866,0.1478866,0.1659686,0.1041356,0.09195338,0.408819,0.3851903,0.1629702,0.1459529,0.1571032,0.201197
0.940227,0.4083027,0.408302706,0.396926237,0.1478866,0.1478866,0.1659686,0.1041356,0.09195338,0.4046735,0.3912221,0.1629702,0.1459529,0.1571032,0.201197
0.940908,0.4118637,0.411863665,0.401220209,0.1478866,0.1478866,0.1659686,0.1041356,0.09195338,0.4046735,0.3912221,0.1622642,0.1451698,0.1571032,0.201197
0.941315,0.4118637,0.411863665,0.401220209,0.1478866,0.1478866,0.1659686,0.1041356,0.09195338,0.4046735,0.3912221,0.1622642,0.1451698,0.1583232,0.200568
1.006118,0.4118637,0.411863665,0.401220209,0.1505742,0.1505742,0.1668886,0.1041356,0.09195338,0.4046735,0.3912221,0.1622642,0.1451698,0.1583232,0.200568
1.006521,0.4236069,0.423606869,0.406931174,0.1505742,0.1505742,0.1668886,0.1056098,0.0926055,0.4046735,0.3912221,0.1622642,0.1451698,0.1583232,0.200568
